,evidences,final_pops,net_evidences,nets,posteriors,probs,Experiment,exp_id
1,1.0,0.4,0.6944444444444444,4-18a75a2d-data-2018-03-19-big-experiment,0.9965862065157534,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
2,0.75,0.75,0.6388888888888888,4-18a75a2d-data-2018-03-19-big-experiment,0.9829540725450702,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
3,0.25,0.45,0.3333333333333333,4-18a75a2d-data-2018-03-19-big-experiment,0.007648397776437493,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
4,0.5,0.25,0.4722222222222222,4-18a75a2d-data-2018-03-19-big-experiment,0.30769230769230765,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
5,0.5,0.65,0.5555555555555556,4-18a75a2d-data-2018-03-19-big-experiment,0.8350515463917525,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
6,0.5,0.6,0.4722222222222222,4-18a75a2d-data-2018-03-19-big-experiment,0.30769230769230765,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
7,0.25,0.3,0.5555555555555556,4-18a75a2d-data-2018-03-19-big-experiment,0.8350515463917525,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
8,0.25,0.4,0.4444444444444444,5-18a75a2d-data-2018-03-19-big-experiment,0.16494845360824748,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
9,0.5,0.4,0.6944444444444444,5-18a75a2d-data-2018-03-19-big-experiment,0.9965862065157534,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
10,0.5,0.45,0.5277777777777778,5-18a75a2d-data-2018-03-19-big-experiment,0.6923076923076922,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
11,0.75,0.55,0.5277777777777778,5-18a75a2d-data-2018-03-19-big-experiment,0.6923076923076922,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
12,0.5,0.45,0.5555555555555556,5-18a75a2d-data-2018-03-19-big-experiment,0.8350515463917525,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
13,0.25,0.4,0.7222222222222222,5-18a75a2d-data-2018-03-19-big-experiment,0.9984798754563001,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
14,0.5,0.45,0.4722222222222222,5-18a75a2d-data-2018-03-19-big-experiment,0.30769230769230765,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
15,0.75,0.65,0.6944444444444444,5-18a75a2d-data-2018-03-19-big-experiment,0.9965862065157534,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
16,0.75,0.65,0.5833333333333334,6-18a75a2d-data-2018-03-19-big-experiment,0.9192938209331651,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
17,0.0,0.4,0.3888888888888889,6-18a75a2d-data-2018-03-19-big-experiment,0.037553175883819886,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
18,0.75,0.7,0.5555555555555556,6-18a75a2d-data-2018-03-19-big-experiment,0.8350515463917525,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
19,0.5,0.55,0.6111111111111112,6-18a75a2d-data-2018-03-19-big-experiment,0.9624468241161801,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
20,0.25,0.4,0.3611111111111111,6-18a75a2d-data-2018-03-19-big-experiment,0.017045927454929853,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
21,0.5,0.4,0.5555555555555556,6-18a75a2d-data-2018-03-19-big-experiment,0.8350515463917525,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
22,0.25,0.35,0.3611111111111111,6-18a75a2d-data-2018-03-19-big-experiment,0.017045927454929853,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
23,0.75,0.6,0.6388888888888888,6-18a75a2d-data-2018-03-19-big-experiment,0.9829540725450702,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
24,1.0,0.65,0.7222222222222222,7-18a75a2d-data-2018-03-19-big-experiment,0.9984798754563001,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
25,0.25,0.35,0.4166666666666667,7-18a75a2d-data-2018-03-19-big-experiment,0.08070617906683486,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
26,0.5,0.3,0.3888888888888889,7-18a75a2d-data-2018-03-19-big-experiment,0.037553175883819886,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
27,1.0,0.7,0.4166666666666667,7-18a75a2d-data-2018-03-19-big-experiment,0.08070617906683486,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
28,0.5,0.25,0.4166666666666667,7-18a75a2d-data-2018-03-19-big-experiment,0.08070617906683486,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
29,0.5,0.2,0.3333333333333333,7-18a75a2d-data-2018-03-19-big-experiment,0.007648397776437493,0.6,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
30,0.25,0.25,0.3333333333333333,7-18a75a2d-data-2018-03-19-big-experiment,0.007648397776437493,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
31,0.5,0.5,0.25,7-18a75a2d-data-2018-03-19-big-experiment,0.0006761819531905637,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
0,0.0,0.45,0.4444444444444444,4-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.4,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
1,0.0,0.3,0.4444444444444444,4-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.4,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
2,0.0,0.3,0.5555555555555556,4-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.5999999999999999,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
3,0.0,0.45,0.3333333333333333,4-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.22857142857142862,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
4,1.0,0.75,0.5555555555555556,4-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.5999999999999999,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
5,0.0,0.4,0.4444444444444444,4-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.4,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
6,0.0,0.5,0.6666666666666666,4-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.7714285714285715,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
7,1.0,0.65,0.6666666666666666,4-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.7714285714285715,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
8,1.0,0.45,0.5555555555555556,5-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.5999999999999999,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
9,0.0,0.3,0.3333333333333333,5-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.22857142857142862,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
10,1.0,0.6,0.1111111111111111,5-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.05529157667386614,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
11,1.0,0.4,0.6666666666666666,5-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.7714285714285715,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
12,1.0,0.65,0.7777777777777778,5-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.8836363636363637,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
13,1.0,0.8,0.6666666666666666,5-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.7714285714285715,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
14,0.0,0.35,0.5555555555555556,5-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.5999999999999999,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
15,0.0,0.3,0.3333333333333333,5-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.22857142857142862,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
16,1.0,0.6,0.6666666666666666,6-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.7714285714285715,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
17,0.0,0.3,0.8888888888888888,6-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.9447084233261339,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
18,1.0,0.45,0.5555555555555556,6-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.5999999999999999,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
19,0.0,0.45,0.3333333333333333,6-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.22857142857142862,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
20,1.0,0.6,0.4444444444444444,6-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.4,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
21,1.0,0.65,0.6666666666666666,6-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.7714285714285715,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
22,0.0,0.2,0.3333333333333333,6-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.22857142857142862,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
23,1.0,0.45,0.5555555555555556,6-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.5999999999999999,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
24,0.0,0.4,0.4444444444444444,7-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.4,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
25,1.0,0.6,1.0,7-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.9746471898984896,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
26,0.0,0.35,0.5555555555555556,7-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.5999999999999999,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
27,1.0,0.6,0.7777777777777778,7-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.8836363636363637,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
28,0.0,0.25,0.3333333333333333,7-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.22857142857142862,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
29,1.0,0.6,0.6666666666666666,7-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.7714285714285715,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
30,1.0,0.6,0.5555555555555556,7-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.5999999999999999,0.4,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
31,1.0,0.5,0.7777777777777778,7-6b2b35f0-rounds-10-evidence-1-bit-experiment,0.8836363636363637,0.6,Experiment-2,6b2b35f0-rounds-10-evidence-1-bit-experiment
0,0.75,0.45,0.9166666666666666,4-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,1.0,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
1,0.25,0.3,0.19444444444444445,4-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,5.6843418860804437e-14,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
2,0.75,0.55,0.16666666666666666,4-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,3.5527136788004646e-15,0.2,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
3,1.0,0.5,0.7222222222222222,4-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999997671692,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
4,1.0,0.65,0.8611111111111112,4-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999999998,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
5,0.75,0.55,0.7777777777777778,4-095ddcbc-rounds-10-evidence-4-big-experiment-high-prob,0.9999999999990904,0.8,Experiment-3,095ddcbc-rounds-10-evidence-4-big-experiment-high-prob
