,turn,net,reward
0,0,0,-0.03749999999999999
1,0,1,-0.012499999999999997
2,0,2,-0.012499999999999997
3,0,3,-0.03749999999999999
4,1,0,-0.03749999999999999
5,1,1,0.024999999999999994
6,1,2,0.0
7,1,3,-0.03749999999999999
8,2,0,-0.062499999999999986
9,2,1,0.024999999999999994
10,2,2,0.0
11,2,3,-0.062499999999999986
12,3,0,-0.062499999999999986
13,3,1,0.012499999999999997
14,3,2,0.012499999999999997
15,3,3,-0.012499999999999997
