,adjusted,experiment,net,reward,turn
0,0.0,d75786f7-data-2018-01-25-big-experiment,4-d75786f7-data-2018-01-25-big-experiment,-0.024999999999999994,1
1,-0.0006250000000000006,d75786f7-data-2018-01-25-big-experiment,4-d75786f7-data-2018-01-25-big-experiment,-0.025624999999999995,2
2,0.006874999999999999,d75786f7-data-2018-01-25-big-experiment,4-d75786f7-data-2018-01-25-big-experiment,-0.018124999999999995,3
3,0.006874999999999999,d75786f7-data-2018-01-25-big-experiment,4-d75786f7-data-2018-01-25-big-experiment,-0.018124999999999995,4
4,0.0006250000000000006,d75786f7-data-2018-01-25-big-experiment,4-d75786f7-data-2018-01-25-big-experiment,-0.024374999999999994,5
5,0.0012500000000000011,d75786f7-data-2018-01-25-big-experiment,4-d75786f7-data-2018-01-25-big-experiment,-0.023749999999999993,6
6,0.0018750000000000017,d75786f7-data-2018-01-25-big-experiment,4-d75786f7-data-2018-01-25-big-experiment,-0.023124999999999993,7
7,0.009999999999999998,d75786f7-data-2018-01-25-big-experiment,4-d75786f7-data-2018-01-25-big-experiment,-0.014999999999999996,8
8,0.006874999999999999,d75786f7-data-2018-01-25-big-experiment,4-d75786f7-data-2018-01-25-big-experiment,-0.018124999999999995,9
9,0.004374999999999997,d75786f7-data-2018-01-25-big-experiment,4-d75786f7-data-2018-01-25-big-experiment,-0.020624999999999998,10
10,0.0,d75786f7-data-2018-01-25-big-experiment,5-d75786f7-data-2018-01-25-big-experiment,-0.021249999999999998,1
11,-0.0012499999999999976,d75786f7-data-2018-01-25-big-experiment,5-d75786f7-data-2018-01-25-big-experiment,-0.022499999999999996,2
12,0.01,d75786f7-data-2018-01-25-big-experiment,5-d75786f7-data-2018-01-25-big-experiment,-0.011249999999999998,3
13,-0.0006249999999999971,d75786f7-data-2018-01-25-big-experiment,5-d75786f7-data-2018-01-25-big-experiment,-0.021874999999999995,4
14,0.008125000000000002,d75786f7-data-2018-01-25-big-experiment,5-d75786f7-data-2018-01-25-big-experiment,-0.013124999999999996,5
15,-0.0024999999999999953,d75786f7-data-2018-01-25-big-experiment,5-d75786f7-data-2018-01-25-big-experiment,-0.023749999999999993,6
16,-0.004374999999999997,d75786f7-data-2018-01-25-big-experiment,5-d75786f7-data-2018-01-25-big-experiment,-0.025624999999999995,7
17,0.019374999999999996,d75786f7-data-2018-01-25-big-experiment,5-d75786f7-data-2018-01-25-big-experiment,-0.0018750000000000012,8
18,0.010624999999999999,d75786f7-data-2018-01-25-big-experiment,5-d75786f7-data-2018-01-25-big-experiment,-0.010624999999999999,9
19,0.0075,d75786f7-data-2018-01-25-big-experiment,5-d75786f7-data-2018-01-25-big-experiment,-0.013749999999999998,10
20,0.0,d75786f7-data-2018-01-25-big-experiment,6-d75786f7-data-2018-01-25-big-experiment,0.008125,1
21,-0.004375,d75786f7-data-2018-01-25-big-experiment,6-d75786f7-data-2018-01-25-big-experiment,0.00375,2
22,0.011249999999999996,d75786f7-data-2018-01-25-big-experiment,6-d75786f7-data-2018-01-25-big-experiment,0.019374999999999996,3
23,-0.0018750000000000025,d75786f7-data-2018-01-25-big-experiment,6-d75786f7-data-2018-01-25-big-experiment,0.006249999999999998,4
24,0.011874999999999997,d75786f7-data-2018-01-25-big-experiment,6-d75786f7-data-2018-01-25-big-experiment,0.019999999999999997,5
25,0.006874999999999997,d75786f7-data-2018-01-25-big-experiment,6-d75786f7-data-2018-01-25-big-experiment,0.014999999999999998,6
26,0.005624999999999998,d75786f7-data-2018-01-25-big-experiment,6-d75786f7-data-2018-01-25-big-experiment,0.013749999999999998,7
27,0.006249999999999999,d75786f7-data-2018-01-25-big-experiment,6-d75786f7-data-2018-01-25-big-experiment,0.014374999999999999,8
28,0.0006250000000000006,d75786f7-data-2018-01-25-big-experiment,6-d75786f7-data-2018-01-25-big-experiment,0.00875,9
29,0.015624999999999993,d75786f7-data-2018-01-25-big-experiment,6-d75786f7-data-2018-01-25-big-experiment,0.023749999999999993,10
30,0.0,d75786f7-data-2018-01-25-big-experiment,7-d75786f7-data-2018-01-25-big-experiment,0.0024999999999999996,1
31,0.0024999999999999988,d75786f7-data-2018-01-25-big-experiment,7-d75786f7-data-2018-01-25-big-experiment,0.004999999999999998,2
32,0.009999999999999995,d75786f7-data-2018-01-25-big-experiment,7-d75786f7-data-2018-01-25-big-experiment,0.012499999999999995,3
33,0.0024999999999999988,d75786f7-data-2018-01-25-big-experiment,7-d75786f7-data-2018-01-25-big-experiment,0.004999999999999998,4
34,0.003749999999999999,d75786f7-data-2018-01-25-big-experiment,7-d75786f7-data-2018-01-25-big-experiment,0.006249999999999999,5
