id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
77,2018-01-20 14:36:37.841328,,,,,,f,,question,24,4,"",""
78,2018-01-20 15:07:39.832375,,,,,,f,,question,26,1,time,12
79,2018-01-20 15:07:39.897003,,,,,,f,,question,26,2,multi-confusing,no
80,2018-01-20 15:07:39.959699,,,,,,f,,question,26,3,"",""
81,2018-01-20 15:07:40.024294,,,,,,f,,question,26,4,"",""
82,2018-01-20 16:17:55.755849,,,,,,f,,question,27,1,time,10
83,2018-01-20 16:17:55.836023,,,,,,f,,question,27,2,multi-confusing,No
84,2018-01-20 16:17:55.903089,,,,,,f,,question,27,3,"",""
85,2018-01-20 16:17:55.971289,,,,,,f,,question,27,4,"",""
86,2018-01-20 16:32:19.381004,,,,,,f,,question,28,1,time,10
87,2018-01-20 16:32:19.481905,,,,,,f,,question,28,2,multi-confusing,No.
89,2018-01-20 16:32:19.684197,,,,,,f,,question,28,4,"",""
88,2018-01-20 16:32:19.582943,,,,,,f,,question,28,3,"",""
90,2018-01-20 16:42:04.627513,,,,,,f,,question,29,1,time,5
101,2018-01-20 17:33:55.925691,,,,,,f,,question,33,4,"",""
91,2018-01-20 16:42:04.908934,,,,,,f,,question,29,2,multi-confusing,no
92,2018-01-20 16:42:05.33245,,,,,,f,,question,29,3,"",""
107,2018-01-20 18:23:47.903543,,,,,,f,,question,37,2,multi-confusing,"I thought i got to change my parts every time it was time for a new flight, but had to use the same parts for 4 flights, after the first time i figured it out. thank you"
109,2018-01-20 18:23:48.161423,,,,,,f,,question,37,4,"",""
93,2018-01-20 16:42:05.751977,,,,,,f,,question,29,4,"",""
94,2018-01-20 17:20:36.635314,,,,,,f,,question,31,1,time,12
96,2018-01-20 17:20:36.789069,,,,,,f,,question,31,3,"",""
95,2018-01-20 17:20:36.711743,,,,,,f,,question,31,2,multi-confusing,no
97,2018-01-20 17:20:36.866678,,,,,,f,,question,31,4,"",""
105,2018-01-20 18:02:20.677317,,,,,,f,,question,34,4,"",""
98,2018-01-20 17:33:55.695359,,,,,,f,,question,33,1,time,10
99,2018-01-20 17:33:55.77068,,,,,,f,,question,33,2,multi-confusing,"No, everything was pretty clear, thank you!"
100,2018-01-20 17:33:55.848361,,,,,,f,,question,33,3,"",""
102,2018-01-20 18:02:20.392422,,,,,,f,,question,34,1,time,7
103,2018-01-20 18:02:20.509143,,,,,,f,,question,34,2,multi-confusing,It took a few minutes to understand the game.
104,2018-01-20 18:02:20.585304,,,,,,f,,question,34,3,"",""
106,2018-01-20 18:23:47.771229,,,,,,f,,question,37,1,time,7
108,2018-01-20 18:23:48.034925,,,,,,f,,question,37,3,"",""
110,2018-01-20 18:36:29.722694,,,,,,f,,question,38,1,time,5
111,2018-01-20 18:36:29.81026,,,,,,f,,question,38,2,multi-confusing,No
112,2018-01-20 18:36:29.888178,,,,,,f,,question,38,3,"",""
113,2018-01-20 18:36:29.96973,,,,,,f,,question,38,4,"",""
114,2018-01-20 18:57:23.985999,,,,,,f,,question,39,1,time,12
115,2018-01-20 18:57:24.104808,,,,,,f,,question,39,2,multi-confusing,"No, I thought it was fun! Thank you!"
116,2018-01-20 18:57:24.249284,,,,,,f,,question,39,3,"",""
117,2018-01-20 18:57:24.36587,,,,,,f,,question,39,4,"",""
118,2018-01-20 20:02:43.436792,,,,,,f,,question,41,1,time,15
119,2018-01-20 20:02:43.574492,,,,,,f,,question,41,2,multi-confusing,no
120,2018-01-20 20:02:43.728434,,,,,,f,,question,41,3,"",""
121,2018-01-20 20:02:43.966035,,,,,,f,,question,41,4,"",""
122,2018-01-20 20:52:45.751569,,,,,,f,,question,42,1,time,10
123,2018-01-20 20:52:45.846081,,,,,,f,,question,42,2,multi-confusing,""
124,2018-01-20 20:52:45.940112,,,,,,f,,question,42,3,"",""
125,2018-01-20 20:52:46.051157,,,,,,f,,question,42,4,"",""
126,2018-01-20 21:03:07.075763,,,,,,f,,question,43,1,time,15
127,2018-01-20 21:03:07.147258,,,,,,f,,question,43,2,multi-confusing,"nothing made sense to me, forcing me to spend 30 to 45 minutes for free trying to decipher something that was ridiculous made me furiious"
128,2018-01-20 21:03:07.21164,,,,,,f,,question,43,3,"",""
129,2018-01-20 21:03:07.279231,,,,,,f,,question,43,4,"",""
130,2018-01-20 21:32:57.695777,,,,,,f,,question,44,1,time,7
131,2018-01-20 21:32:57.841807,,,,,,f,,question,44,2,multi-confusing,at first I didn't get that I couldn't change the parts until experiment #2
132,2018-01-20 21:32:57.969654,,,,,,f,,question,44,3,"",""
133,2018-01-20 21:32:58.12722,,,,,,f,,question,44,4,"",""
134,2018-01-20 23:47:20.664027,,,,,,f,,question,45,1,time,7
135,2018-01-20 23:47:20.956564,,,,,,f,,question,45,2,multi-confusing,no
136,2018-01-20 23:47:21.564845,,,,,,f,,question,45,3,"",""
137,2018-01-20 23:47:21.855493,,,,,,f,,question,45,4,"",""
138,2018-01-20 23:58:01.186402,,,,,,f,,question,46,1,time,10
139,2018-01-20 23:58:01.286759,,,,,,f,,question,46,2,multi-confusing,the parts seemed confusing and not mechanical so I was not sure what to pick
140,2018-01-20 23:58:01.372476,,,,,,f,,question,46,3,"",""
141,2018-01-20 23:58:01.460217,,,,,,f,,question,46,4,"",""
142,2018-01-21 00:06:52.249843,,,,,,f,,question,47,1,time,10
143,2018-01-21 00:06:52.397829,,,,,,f,,question,47,2,multi-confusing,""
144,2018-01-21 00:06:52.535947,,,,,,f,,question,47,3,"",""
145,2018-01-21 00:06:52.681134,,,,,,f,,question,47,4,"",""
146,2018-01-21 00:19:46.412202,,,,,,f,,question,48,1,time,10
147,2018-01-21 00:19:46.491863,,,,,,f,,question,48,2,multi-confusing,No
148,2018-01-21 00:19:46.61339,,,,,,f,,question,48,3,"",""
149,2018-01-21 00:19:46.989418,,,,,,f,,question,48,4,"",""
150,2018-01-21 00:52:26.675334,,,,,,f,,question,49,1,time,15
151,2018-01-21 00:52:26.802443,,,,,,f,,question,49,2,multi-confusing,no
152,2018-01-21 00:52:26.911486,,,,,,f,,question,49,3,"",""
153,2018-01-21 00:52:27.112107,,,,,,f,,question,49,4,"",""
154,2018-01-21 02:11:39.381272,,,,,,f,,question,50,1,time,15
155,2018-01-21 02:11:39.455112,,,,,,f,,question,50,2,multi-confusing,No
156,2018-01-21 02:11:39.532795,,,,,,f,,question,50,3,"",""
157,2018-01-21 02:11:39.593191,,,,,,f,,question,50,4,"",""
158,2018-01-21 02:26:27.328153,,,,,,f,,question,52,1,time,5
159,2018-01-21 02:26:27.398686,,,,,,f,,question,52,2,multi-confusing,no
160,2018-01-21 02:26:27.510713,,,,,,f,,question,52,3,"",""
161,2018-01-21 02:26:27.596367,,,,,,f,,question,52,4,"",""
162,2018-01-21 02:37:42.622779,,,,,,f,,question,53,1,time,10
163,2018-01-21 02:37:42.696869,,,,,,f,,question,53,2,multi-confusing,"Yes, finding reliable parts."
164,2018-01-21 02:37:42.775556,,,,,,f,,question,53,3,"",""
165,2018-01-21 02:37:42.851711,,,,,,f,,question,53,4,"",""
166,2018-01-21 02:47:31.640172,,,,,,f,,question,54,1,time,5
167,2018-01-21 02:47:31.727975,,,,,,f,,question,54,2,multi-confusing,Not in particular.
168,2018-01-21 02:47:31.815221,,,,,,f,,question,54,3,"",""
169,2018-01-21 02:47:31.896152,,,,,,f,,question,54,4,"",""
170,2018-01-21 03:03:28.644891,,,,,,f,,question,56,1,time,10
171,2018-01-21 03:03:28.754259,,,,,,f,,question,56,2,multi-confusing,no
172,2018-01-21 03:03:28.858158,,,,,,f,,question,56,3,"",""
173,2018-01-21 03:03:28.956069,,,,,,f,,question,56,4,"",""
174,2018-01-21 03:16:46.908909,,,,,,f,,question,57,1,time,5
175,2018-01-21 03:16:47.013739,,,,,,f,,question,57,2,multi-confusing,""
176,2018-01-21 03:16:47.115273,,,,,,f,,question,57,3,"",""
177,2018-01-21 03:16:47.227189,,,,,,f,,question,57,4,"",""
178,2018-01-21 03:33:06.965697,,,,,,f,,question,59,1,time,12
179,2018-01-21 03:33:07.039603,,,,,,f,,question,59,2,multi-confusing,I didn't like just seeing the picture with the failed parts.  It would be nice to have a flight score included with the pictures of the spaceships.  I know I could just count and know but a running total would be a nice visual to have.  
180,2018-01-21 03:33:07.128074,,,,,,f,,question,59,3,"",""
181,2018-01-21 03:33:07.186779,,,,,,f,,question,59,4,"",""
182,2018-01-21 08:53:54.365747,,,,,,f,,question,60,1,time,7
183,2018-01-21 08:53:54.515477,,,,,,f,,question,60,2,multi-confusing,No.
184,2018-01-21 08:53:54.710931,,,,,,f,,question,60,3,"",""
185,2018-01-21 08:53:54.90814,,,,,,f,,question,60,4,"",""
186,2018-01-21 13:09:22.654455,,,,,,f,,question,61,1,time,12
187,2018-01-21 13:09:23.335086,,,,,,f,,question,61,2,multi-confusing,"no, all good"
188,2018-01-21 13:09:23.979371,,,,,,f,,question,61,3,"",""
189,2018-01-21 13:09:24.610671,,,,,,f,,question,61,4,"",""
190,2018-01-21 13:23:12.405286,,,,,,f,,question,62,1,time,7
191,2018-01-21 13:23:13.164447,,,,,,f,,question,62,2,multi-confusing,No
192,2018-01-21 13:23:13.971082,,,,,,f,,question,62,3,"",""
193,2018-01-21 13:23:15.287904,,,,,,f,,question,62,4,"",""
194,2018-01-21 13:34:35.293649,,,,,,f,,question,63,1,time,5
195,2018-01-21 13:34:35.421686,,,,,,f,,question,63,2,multi-confusing,no
196,2018-01-21 13:34:35.522324,,,,,,f,,question,63,3,"",""
197,2018-01-21 13:34:35.626894,,,,,,f,,question,63,4,"",""
200,2018-01-21 13:43:30.072227,,,,,,f,,question,64,3,"",""
212,2018-01-21 14:53:01.288085,,,,,,f,,question,67,3,"",""
198,2018-01-21 13:43:29.840942,,,,,,f,,question,64,1,time,10
207,2018-01-21 14:13:50.482967,,,,,,f,,question,66,2,multi-confusing,no problems
216,2018-01-21 15:01:05.275775,,,,,,f,,question,68,3,"",""
218,2018-01-21 15:28:38.183801,,,,,,f,,question,69,1,time,5
226,2018-01-21 16:21:51.298253,,,,,,f,,question,71,1,time,12
235,2018-01-21 16:36:26.193254,,,,,,f,,question,73,2,multi-confusing,""
237,2018-01-21 16:36:26.340411,,,,,,f,,question,73,4,"",""
199,2018-01-21 13:43:29.977932,,,,,,f,,question,64,2,multi-confusing,No
219,2018-01-21 15:28:38.297893,,,,,,f,,question,69,2,multi-confusing,"no, I just had trouble try to figure out a strategy"
225,2018-01-21 15:35:03.592458,,,,,,f,,question,70,4,"",""
201,2018-01-21 13:43:30.163836,,,,,,f,,question,64,4,"",""
202,2018-01-21 13:54:40.109503,,,,,,f,,question,65,1,time,7
203,2018-01-21 13:54:40.184575,,,,,,f,,question,65,2,multi-confusing,""
204,2018-01-21 13:54:40.2878,,,,,,f,,question,65,3,"",""
205,2018-01-21 13:54:40.379223,,,,,,f,,question,65,4,"",""
209,2018-01-21 14:13:50.602527,,,,,,f,,question,66,4,"",""
213,2018-01-21 14:53:01.358676,,,,,,f,,question,67,4,"",""
206,2018-01-21 14:13:50.436798,,,,,,f,,question,66,1,time,10
208,2018-01-21 14:13:50.540621,,,,,,f,,question,66,3,"",""
210,2018-01-21 14:53:01.110769,,,,,,f,,question,67,1,time,5
211,2018-01-21 14:53:01.207701,,,,,,f,,question,67,2,multi-confusing,I did not. 
214,2018-01-21 15:01:04.991765,,,,,,f,,question,68,1,time,7
215,2018-01-21 15:01:05.143889,,,,,,f,,question,68,2,multi-confusing,No
217,2018-01-21 15:01:05.408353,,,,,,f,,question,68,4,"",""
220,2018-01-21 15:28:38.402334,,,,,,f,,question,69,3,"",""
221,2018-01-21 15:28:38.518392,,,,,,f,,question,69,4,"",""
222,2018-01-21 15:35:03.294039,,,,,,f,,question,70,1,time,10
223,2018-01-21 15:35:03.376061,,,,,,f,,question,70,2,multi-confusing,No it was very straightforward
229,2018-01-21 16:21:51.546817,,,,,,f,,question,71,4,"",""
232,2018-01-21 16:31:38.511857,,,,,,f,,question,72,3,"",""
234,2018-01-21 16:36:26.112058,,,,,,f,,question,73,1,time,7
224,2018-01-21 15:35:03.47751,,,,,,f,,question,70,3,"",""
227,2018-01-21 16:21:51.381204,,,,,,f,,question,71,2,multi-confusing,No. After my first round I was not able to click to add anything to my space ship. I tried on safari but I was not allowed to start again. I emailed you and then when I went back in to the experiment it worked. I have no idea what happened. 
228,2018-01-21 16:21:51.463035,,,,,,f,,question,71,3,"",""
230,2018-01-21 16:31:38.237996,,,,,,f,,question,72,1,time,10
236,2018-01-21 16:36:26.266479,,,,,,f,,question,73,3,"",""
231,2018-01-21 16:31:38.387217,,,,,,f,,question,72,2,multi-confusing,No.
233,2018-01-21 16:31:38.85941,,,,,,f,,question,72,4,"",""
238,2018-01-21 16:48:56.393941,,,,,,f,,question,74,1,time,12
239,2018-01-21 16:48:56.593754,,,,,,f,,question,74,2,multi-confusing,""
240,2018-01-21 16:48:56.793191,,,,,,f,,question,74,3,"",""
241,2018-01-21 16:48:56.980821,,,,,,f,,question,74,4,"",""
242,2018-01-21 16:59:39.231604,,,,,,f,,question,75,1,time,5
243,2018-01-21 16:59:39.339758,,,,,,f,,question,75,2,multi-confusing,no
244,2018-01-21 16:59:39.420111,,,,,,f,,question,75,3,"",""
245,2018-01-21 16:59:39.499629,,,,,,f,,question,75,4,"",""
246,2018-01-21 18:09:17.926285,,,,,,f,,question,76,1,time,10
247,2018-01-21 18:09:18.236838,,,,,,f,,question,76,2,multi-confusing,no
248,2018-01-21 18:09:18.879382,,,,,,f,,question,76,3,"",""
249,2018-01-21 18:09:19.248111,,,,,,f,,question,76,4,"",""
250,2018-01-21 19:52:15.356607,,,,,,f,,question,78,1,time,10
251,2018-01-21 19:52:15.451097,,,,,,f,,question,78,2,multi-confusing,no
252,2018-01-21 19:52:15.52756,,,,,,f,,question,78,3,"",""
253,2018-01-21 19:52:15.596549,,,,,,f,,question,78,4,"",""
254,2018-01-21 20:05:00.197917,,,,,,f,,question,80,1,time,10
255,2018-01-21 20:05:00.317596,,,,,,f,,question,80,2,multi-confusing,no
256,2018-01-21 20:05:00.40305,,,,,,f,,question,80,3,"",""
257,2018-01-21 20:05:00.511114,,,,,,f,,question,80,4,"",""
258,2018-01-21 20:11:53.162056,,,,,,f,,question,81,1,time,12
259,2018-01-21 20:11:53.257302,,,,,,f,,question,81,2,multi-confusing,No
260,2018-01-21 20:11:53.420694,,,,,,f,,question,81,3,"",""
261,2018-01-21 20:11:53.522036,,,,,,f,,question,81,4,"",""
262,2018-01-21 20:38:09.848547,,,,,,f,,question,82,1,time,10
263,2018-01-21 20:38:09.938465,,,,,,f,,question,82,2,multi-confusing,no
264,2018-01-21 20:38:10.016289,,,,,,f,,question,82,3,"",""
265,2018-01-21 20:38:10.093457,,,,,,f,,question,82,4,"",""
266,2018-01-21 21:33:41.370956,,,,,,f,,question,84,1,time,12
267,2018-01-21 21:33:41.423967,,,,,,f,,question,84,2,multi-confusing,"Not really, no."
268,2018-01-21 21:33:41.474358,,,,,,f,,question,84,3,"",""
269,2018-01-21 21:33:41.532932,,,,,,f,,question,84,4,"",""
270,2018-01-22 01:10:50.610044,,,,,,f,,question,88,1,time,12
271,2018-01-22 01:10:50.678124,,,,,,f,,question,88,2,multi-confusing,no
272,2018-01-22 01:10:50.747162,,,,,,f,,question,88,3,"",""
273,2018-01-22 01:10:50.814331,,,,,,f,,question,88,4,"",""
274,2018-01-22 01:21:13.309352,,,,,,f,,question,89,1,time,5
275,2018-01-22 01:21:13.394846,,,,,,f,,question,89,2,multi-confusing,The purpose of the experiment  
276,2018-01-22 01:21:13.481604,,,,,,f,,question,89,3,"",""
277,2018-01-22 01:21:13.578406,,,,,,f,,question,89,4,"",""
278,2018-01-22 02:08:20.104505,,,,,,f,,question,90,1,time,5
279,2018-01-22 02:08:20.191511,,,,,,f,,question,90,2,multi-confusing,"No, it seemed clear enough"
280,2018-01-22 02:08:20.280951,,,,,,f,,question,90,3,"",""
281,2018-01-22 02:08:20.384302,,,,,,f,,question,90,4,"",""
282,2018-01-22 03:16:13.496702,,,,,,f,,question,91,1,time,10
283,2018-01-22 03:16:13.538889,,,,,,f,,question,91,2,multi-confusing,Nope! :)
284,2018-01-22 03:16:13.5801,,,,,,f,,question,91,3,"",""
285,2018-01-22 03:16:13.623996,,,,,,f,,question,91,4,"",""
286,2018-01-22 03:28:31.394512,,,,,,f,,question,92,1,time,5
287,2018-01-22 03:28:31.468878,,,,,,f,,question,92,2,multi-confusing,"Yes, In the beginning I was confused as to how to move on to the next step and I couldn't figure out how to select and deselect parts to change what I was using. "
288,2018-01-22 03:28:31.532053,,,,,,f,,question,92,3,"",""
289,2018-01-22 03:28:31.589595,,,,,,f,,question,92,4,"",""
290,2018-01-22 03:51:45.597974,,,,,,f,,question,93,1,time,10
291,2018-01-22 03:51:45.675447,,,,,,f,,question,93,2,multi-confusing,No
292,2018-01-22 03:51:45.762919,,,,,,f,,question,93,3,"",""
293,2018-01-22 03:51:45.822134,,,,,,f,,question,93,4,"",""
294,2018-01-22 05:03:53.657879,,,,,,f,,question,94,1,time,7
295,2018-01-22 05:03:53.915444,,,,,,f,,question,94,2,multi-confusing,No
296,2018-01-22 05:03:54.141513,,,,,,f,,question,94,3,"",""
297,2018-01-22 05:03:54.381662,,,,,,f,,question,94,4,"",""
298,2018-01-22 05:14:19.044364,,,,,,f,,question,95,1,time,5
299,2018-01-22 05:14:19.199989,,,,,,f,,question,95,2,multi-confusing,""
300,2018-01-22 05:14:19.349657,,,,,,f,,question,95,3,"",""
301,2018-01-22 05:14:19.491488,,,,,,f,,question,95,4,"",""
302,2018-01-22 06:35:32.498787,,,,,,f,,question,97,1,time,12
303,2018-01-22 06:35:32.56956,,,,,,f,,question,97,2,multi-confusing,nope
304,2018-01-22 06:35:32.631596,,,,,,f,,question,97,3,"",""
305,2018-01-22 06:35:32.711743,,,,,,f,,question,97,4,"",""
306,2018-01-22 07:53:16.995351,,,,,,f,,question,99,1,time,12
307,2018-01-22 07:53:17.080177,,,,,,f,,question,99,2,multi-confusing,the entire thing was confusing since it did not do what the instructions said it was supposed to do
308,2018-01-22 07:53:17.153437,,,,,,f,,question,99,3,"",""
309,2018-01-22 07:53:17.219973,,,,,,f,,question,99,4,"",""
310,2018-01-22 08:36:55.467438,,,,,,f,,question,104,1,time,12
311,2018-01-22 08:36:55.536158,,,,,,f,,question,104,2,multi-confusing,I wasn't sure if i had to use the same exact parts as the last player or if i could use whatever i wanted.
312,2018-01-22 08:36:55.59806,,,,,,f,,question,104,3,"",""
313,2018-01-22 08:36:55.664283,,,,,,f,,question,104,4,"",""
314,2018-01-22 08:46:53.44655,,,,,,f,,question,105,1,time,7
315,2018-01-22 08:46:53.552939,,,,,,f,,question,105,2,multi-confusing,no
316,2018-01-22 08:46:53.663469,,,,,,f,,question,105,3,"",""
317,2018-01-22 08:46:53.773568,,,,,,f,,question,105,4,"",""
318,2018-01-22 10:07:32.144937,,,,,,f,,question,107,1,"","0 minutes, 14 seconds"
319,2018-01-22 10:07:32.235861,,,,,,f,,question,107,2,time,5
320,2018-01-22 10:07:32.325724,,,,,,f,,question,107,3,multi-confusing,No.
321,2018-01-22 10:07:32.416888,,,,,,f,,question,107,4,"",""
322,2018-01-22 10:07:32.511591,,,,,,f,,question,107,5,"",""
323,2018-01-22 11:55:59.389191,,,,,,f,,question,109,1,time,10
324,2018-01-22 11:55:59.456955,,,,,,f,,question,109,2,multi-confusing,When the change parts button was still shown even after the results slide.  It made me think I needed to make more decisions in between flights but my window wouldn't let me.
325,2018-01-22 11:55:59.525092,,,,,,f,,question,109,3,"",""
326,2018-01-22 11:55:59.631161,,,,,,f,,question,109,4,"",""
327,2018-01-22 13:07:34.685939,,,,,,f,,question,110,1,time,12
392,2018-01-22 21:04:26.441022,,,,,,f,,question,130,2,multi-confusing,""
328,2018-01-22 13:07:34.785938,,,,,,f,,question,110,2,multi-confusing,why would the parts fail randomly? Why not implement quality control in the factories that manufacture the parts?
341,2018-01-22 13:48:44.910447,,,,,,f,,question,113,3,"",""
359,2018-01-22 16:59:08.644591,,,,,,f,,question,119,1,time,5
363,2018-01-22 17:22:44.02244,,,,,,f,,question,120,1,time,10
367,2018-01-22 18:40:11.590248,,,,,,f,,question,121,1,time,12
389,2018-01-22 20:40:24.960933,,,,,,f,,question,128,3,"",""
329,2018-01-22 13:07:34.870275,,,,,,f,,question,110,3,"",""
330,2018-01-22 13:07:34.97281,,,,,,f,,question,110,4,"",""
331,2018-01-22 13:16:23.19404,,,,,,f,,question,111,1,time,12
332,2018-01-22 13:16:23.341848,,,,,,f,,question,111,2,multi-confusing,no
333,2018-01-22 13:16:23.479856,,,,,,f,,question,111,3,"",""
334,2018-01-22 13:16:23.632275,,,,,,f,,question,111,4,"",""
335,2018-01-22 13:35:25.536943,,,,,,f,,question,112,1,time,5
336,2018-01-22 13:35:25.615873,,,,,,f,,question,112,2,multi-confusing,""
339,2018-01-22 13:48:44.821237,,,,,,f,,question,113,1,time,5
340,2018-01-22 13:48:44.864987,,,,,,f,,question,113,2,multi-confusing,"no, straightforward. "
342,2018-01-22 13:48:44.953263,,,,,,f,,question,113,4,"",""
343,2018-01-22 14:10:43.584382,,,,,,f,,question,114,1,time,10
345,2018-01-22 14:10:43.732267,,,,,,f,,question,114,3,"",""
350,2018-01-22 14:20:30.760516,,,,,,f,,question,116,4,"",""
