,Up to Last Evidence,Total Evidence,Last Evidence,Posterior,Popularity,Class,Shift,Net,Game Net,Game,Nonsocial Probability Matching,Nonsocial Bayesian Probability Matching,Nonsocial Utility Maximizing,Naive Copying,Social Sampling (Probability Matching),Social Sampling (Bayesian)
18,0.6666666666666666,0.625,0.5,0.9727156116961383,0.3,azzitha,4,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.75,0.5465277777777777,0.6115218842955139
19,0.6666666666666666,0.5625,0.25,0.9106025292030064,0.15,thuevil,4,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.3,0.22308516336368506,0.24326439351593077
20,0.6666666666666666,0.625,0.5,0.9727156116961383,0.65,noviid,4,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,1.0,0.5930555555555556,0.655583543240974
21,0.75,0.6875,0.5,0.9920495146783823,0.4,paked,4,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.9,0.5744444444444444,0.6380869732909074
22,0.5833333333333334,0.625,0.75,0.9727156116961383,0.8,cewab,4,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.7,0.776914836636315,0.8414411964649898
23,0.6666666666666666,0.75,1.0,0.9977154590442986,0.95,edarti,4,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,1.0,0.9411764705882353,1,0.85,1.0,0.9541144573899026
24,0.6875,0.75,1.0,0.9994993631304467,0.9,uthug,5,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,1.0,0.9411764705882353,1,0.05,1.0,0.9194132873166523
25,0.3125,0.3,0.25,0.024704913001626024,0.1,arpoep,5,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.15,0.2041335245794758,0.22309073247849218
26,0.625,0.7,1.0,0.9982499612913132,0.95,azzitha,5,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,1.0,0.9411764705882353,1,0.3,1.0,0.9323539699195523
27,0.5625,0.6,0.75,0.9789759460364035,0.75,thuevil,5,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.15,0.6977417917099985,0.7786438702156596
