id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
138,2018-05-07 04:37:24.581047,,,,,,f,,participant,138,39GHHAVOMGKM694HRLVVXBYL6954JT,138:39GHHAVOMGKM694HRLVVXBYL6954JT,33Q5P9PUSPFCE8O6CKZXGJ2EC1GCZV,live,2018-05-07 04:43:02.324693,1.8,0,approved
139,2018-05-07 04:44:56.241653,,,,,,f,,participant,139,3IAS3U3I0G96LCRIZFZQ68IAEQ1B2K,139:3IAS3U3I0G96LCRIZFZQ68IAEQ1B2K,3ABAOCJ4R8XG92Z62DAYSMVM1C1QMZ,live,2018-05-07 04:51:55.225163,1.8,0,approved
140,2018-05-07 04:52:33.952977,,,,,,f,,participant,140,3U0SRXB7CEYPQ5X0HVJ0YBQC77VNR0,140:3U0SRXB7CEYPQ5X0HVJ0YBQC77VNR0,30UZJB2POH5QUU8YC3HGYCRP5PY53M,live,2018-05-07 04:57:49.710898,1.8,0,approved
148,2018-05-07 06:35:17.650679,,,,,,f,,participant,148,3FK0YFF9P09URHNQS6A19P9SEGHVVP,148:3FK0YFF9P09URHNQS6A19P9SEGHVVP,33KMQD9OFJ7NIHN428Z39DH11XG779,live,2018-05-07 06:45:14.640407,1.8,0,approved
145,2018-05-07 06:09:04.168007,,,,,,f,,participant,145,32N49TQG3HBAZTKSHBJ5D2VFT6EVAM,145:32N49TQG3HBAZTKSHBJ5D2VFT6EVAM,39KMGHJ4RZ3VIVN0WATLFJXRL54002,live,2018-05-07 06:21:54.083104,1.8,0,approved
152,2018-05-07 07:26:56.872028,,,,,,f,,participant,152,3LQ8PUHQFMLKNA86OAUEFZSPYZCHIQ,152:3LQ8PUHQFMLKNA86OAUEFZSPYZCHIQ,372AGES0I4YRFFDATZ178TLP42PXRT,live,2018-05-07 07:44:26.182101,1.8,0,approved
155,2018-05-07 08:47:17.663302,,,,,,f,,participant,155,39DD6S19JQ4UYQ6EYDAUURY22WNZEQ,155:39DD6S19JQ4UYQ6EYDAUURY22WNZEQ,3SD15I2WD2NMDY8CHMRLQI5P1KB362,live,2018-05-07 08:56:03.72751,1.8,0,approved
156,2018-05-07 09:00:55.79763,,,,,,f,,participant,156,39PAAFCODNTFEPJ1NBAM87L7HV5VTD,156:39PAAFCODNTFEPJ1NBAM87L7HV5VTD,3E6L1VR4XWFHTAO51HSNRRUM4AG6FE,live,2018-05-07 09:16:41.312305,1.8,0,approved
53,2018-05-05 21:25:48.255047,,,,,,f,,participant,53,3NJM2BJS4XZLNOKUFD6XD5WL7JYCPG,53:3NJM2BJS4XZLNOKUFD6XD5WL7JYCPG,3QTFNPMJC6BV5CLX1A8BWUWQB5ANZ4,live,2018-05-05 21:35:10.109007,1.8,0,approved
44,2018-05-05 14:59:51.82645,,,,,,f,,participant,44,3PIWWX1FJKZC9RN2USIZ3DN4O4KJJK,44:3PIWWX1FJKZC9RN2USIZ3DN4O4KJJK,30OITAWPBQWOPPH9UEJZEMX1AQ89HX,live,2018-05-05 15:07:33.593325,1.8,0,approved
88,2018-05-06 10:05:24.410322,,,,,,f,,participant,88,37FMASSAYDKAWX5KOIKITOPR3LKBIF,88:37FMASSAYDKAWX5KOIKITOPR3LKBIF,3OZ4VAIBEX8ID2P2LFRGIH2DEA6JV3,live,2018-05-06 10:13:35.991391,1.8,0,approved
46,2018-05-05 15:18:52.00289,,,,,,f,,participant,46,37UQDCYH6YOSGRMUA87L3BTPSWT7VO,46:37UQDCYH6YOSGRMUA87L3BTPSWT7VO,3SR6AEG6W5M3QQPH2QBFD3QSJZTHYU,live,2018-05-05 15:23:57.754007,1.8,0,approved
123,2018-05-06 20:27:45.458194,,,,,,f,,participant,123,3KJYX6QCMA4L0MNWBHWI61YYJSBVJ3,123:3KJYX6QCMA4L0MNWBHWI61YYJSBVJ3,3DWGDA5POFXBIL9YVQLAEH6RKTF1VQ,live,2018-05-06 20:35:14.882334,1.8,0,approved
63,2018-05-05 22:52:33.834278,,,,,,f,,participant,63,3DQQ64TANHEU1MQZW46YPZ3OZZGWP9,63:3DQQ64TANHEU1MQZW46YPZ3OZZGWP9,3MDWE879UHVEYCENUM93SBU3FD8B9O,live,2018-05-05 23:01:12.88654,1.8,0,approved
