id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,max_size,full,role
1,2018-01-19 11:58:58.122356,4,4,,,,f,,particle_network,17,t,practice
2,2018-01-19 11:58:58.124408,4,4,,,,f,,particle_network,17,t,practice
3,2018-01-19 11:58:58.125794,4,4,,,,f,,particle_network,17,t,practice
4,2018-01-19 11:58:58.127054,4,4,,,,f,,particle_network,17,t,practice
8,2018-01-19 11:58:58.132563,4,4,,,,f,,particle_network,17,t,experiment
6,2018-01-19 11:58:58.130022,4,4,,,,f,,particle_network,17,t,experiment
5,2018-01-19 11:58:58.128558,4,4,,,,f,,particle_network,17,t,experiment
7,2018-01-19 11:58:58.131312,4,4,,,,f,,particle_network,17,t,experiment
