id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
80,2018-01-29 16:29:16.601827,,,,,,f,,question,22,4,"",""
81,2018-01-29 16:49:26.008463,,,,,,f,,question,23,1,time,12
82,2018-01-29 16:49:26.076066,,,,,,f,,question,23,2,multi-confusing,""
83,2018-01-29 16:49:26.134185,,,,,,f,,question,23,3,"",""
84,2018-01-29 16:49:26.202759,,,,,,f,,question,23,4,"",""
85,2018-01-29 16:58:08.00683,,,,,,f,,question,24,1,time,7
86,2018-01-29 16:58:08.075457,,,,,,f,,question,24,2,multi-confusing,No
87,2018-01-29 16:58:08.146161,,,,,,f,,question,24,3,"",""
88,2018-01-29 16:58:08.217578,,,,,,f,,question,24,4,"",""
89,2018-01-29 17:10:26.050623,,,,,,f,,question,25,1,time,12
90,2018-01-29 17:10:26.166283,,,,,,f,,question,25,2,multi-confusing,no
91,2018-01-29 17:10:26.258456,,,,,,f,,question,25,3,"",""
92,2018-01-29 17:10:26.350527,,,,,,f,,question,25,4,"",""
94,2018-01-29 17:25:31.170867,,,,,,f,,question,26,2,multi-confusing,Nothing
93,2018-01-29 17:25:31.089179,,,,,,f,,question,26,1,time,10
95,2018-01-29 17:25:31.252315,,,,,,f,,question,26,3,"",""
97,2018-01-29 19:32:23.382044,,,,,,f,,question,27,1,time,5
98,2018-01-29 19:32:23.441014,,,,,,f,,question,27,2,multi-confusing,No.
103,2018-01-29 22:33:10.814282,,,,,,f,,question,28,3,"",""
96,2018-01-29 17:25:31.334358,,,,,,f,,question,26,4,"",""
99,2018-01-29 19:32:23.495372,,,,,,f,,question,27,3,"",""
105,2018-01-29 22:38:41.116785,,,,,,f,,question,29,1,time,7
108,2018-01-29 22:38:41.541587,,,,,,f,,question,29,4,"",""
100,2018-01-29 19:32:23.550562,,,,,,f,,question,27,4,"",""
101,2018-01-29 22:33:10.502547,,,,,,f,,question,28,1,time,15
102,2018-01-29 22:33:10.654906,,,,,,f,,question,28,2,multi-confusing,No. Thank you.
104,2018-01-29 22:33:10.976966,,,,,,f,,question,28,4,"",""
106,2018-01-29 22:38:41.235837,,,,,,f,,question,29,2,multi-confusing,no
107,2018-01-29 22:38:41.423473,,,,,,f,,question,29,3,"",""
109,2018-01-29 23:03:07.53943,,,,,,f,,question,30,1,time,12
110,2018-01-29 23:03:07.630379,,,,,,f,,question,30,2,multi-confusing,"No, but the results seemed pretty random."
111,2018-01-29 23:03:07.709792,,,,,,f,,question,30,3,"",""
112,2018-01-29 23:03:07.794523,,,,,,f,,question,30,4,"",""
113,2018-01-30 00:30:46.972816,,,,,,f,,question,32,1,time,7
114,2018-01-30 00:30:47.074659,,,,,,f,,question,32,2,multi-confusing,no
115,2018-01-30 00:30:47.172234,,,,,,f,,question,32,3,"",""
116,2018-01-30 00:30:47.258389,,,,,,f,,question,32,4,"",""
117,2018-01-30 00:40:52.453798,,,,,,f,,question,33,1,time,10
118,2018-01-30 00:40:52.593861,,,,,,f,,question,33,2,multi-confusing,no
119,2018-01-30 00:40:52.951991,,,,,,f,,question,33,3,"",""
120,2018-01-30 00:40:53.16574,,,,,,f,,question,33,4,"",""
121,2018-01-30 00:56:35.723757,,,,,,f,,question,34,1,time,15
122,2018-01-30 00:56:35.818223,,,,,,f,,question,34,2,multi-confusing,no
123,2018-01-30 00:56:35.918982,,,,,,f,,question,34,3,"",""
124,2018-01-30 00:56:36.032894,,,,,,f,,question,34,4,"",""
125,2018-01-30 01:50:21.702606,,,,,,f,,question,36,1,time,10
126,2018-01-30 01:50:21.822273,,,,,,f,,question,36,2,multi-confusing,""
127,2018-01-30 01:50:21.939798,,,,,,f,,question,36,3,"",""
128,2018-01-30 01:50:22.049412,,,,,,f,,question,36,4,"",""
129,2018-01-30 02:36:42.001308,,,,,,f,,question,38,1,time,12
130,2018-01-30 02:36:42.071219,,,,,,f,,question,38,2,multi-confusing,no
131,2018-01-30 02:36:42.148477,,,,,,f,,question,38,3,"",""
132,2018-01-30 02:36:42.211415,,,,,,f,,question,38,4,"",""
133,2018-01-30 03:12:14.600137,,,,,,f,,question,39,1,time,7
134,2018-01-30 03:12:14.704217,,,,,,f,,question,39,2,multi-confusing,"It actually made no sense to me whatsoever, sorry"
135,2018-01-30 03:12:14.820125,,,,,,f,,question,39,3,"",""
136,2018-01-30 03:12:14.911973,,,,,,f,,question,39,4,"",""
137,2018-01-30 04:23:41.80665,,,,,,f,,question,40,1,time,15
138,2018-01-30 04:23:41.969224,,,,,,f,,question,40,2,multi-confusing,"No but for three of my trials, the previous participant's icons were not present so I had nothing to base my parts on so I practically had to randomly choose some parts and roll the dice"
139,2018-01-30 04:23:42.10584,,,,,,f,,question,40,3,"",""
140,2018-01-30 04:23:42.229419,,,,,,f,,question,40,4,"",""
141,2018-01-30 04:47:44.471696,,,,,,f,,question,42,1,time,15
142,2018-01-30 04:47:44.5417,,,,,,f,,question,42,2,multi-confusing,No
143,2018-01-30 04:47:44.613238,,,,,,f,,question,42,3,"",""
144,2018-01-30 04:47:44.681803,,,,,,f,,question,42,4,"",""
145,2018-01-30 05:08:13.216611,,,,,,f,,question,43,1,time,15
146,2018-01-30 05:08:13.443674,,,,,,f,,question,43,2,multi-confusing,no this was pretty simple
147,2018-01-30 05:08:13.683774,,,,,,f,,question,43,3,"",""
148,2018-01-30 05:08:13.922332,,,,,,f,,question,43,4,"",""
149,2018-01-30 05:36:38.160865,,,,,,f,,question,44,1,time,10
150,2018-01-30 05:36:38.254008,,,,,,f,,question,44,2,multi-confusing,At first.  Read instructions twice. 
151,2018-01-30 05:36:38.377885,,,,,,f,,question,44,3,"",""
152,2018-01-30 05:36:38.492032,,,,,,f,,question,44,4,"",""
153,2018-01-30 05:44:19.732455,,,,,,f,,question,45,1,time,5
154,2018-01-30 05:44:19.84961,,,,,,f,,question,45,2,multi-confusing,""
155,2018-01-30 05:44:19.96626,,,,,,f,,question,45,3,"",""
156,2018-01-30 05:44:20.08583,,,,,,f,,question,45,4,"",""
157,2018-01-30 06:14:13.708291,,,,,,f,,question,46,1,time,12
158,2018-01-30 06:14:13.820345,,,,,,f,,question,46,2,multi-confusing,No
159,2018-01-30 06:14:13.93315,,,,,,f,,question,46,3,"",""
160,2018-01-30 06:14:14.041779,,,,,,f,,question,46,4,"",""
161,2018-01-30 06:51:14.701638,,,,,,f,,question,47,1,time,10
162,2018-01-30 06:51:14.793898,,,,,,f,,question,47,2,multi-confusing,No
163,2018-01-30 06:51:14.886004,,,,,,f,,question,47,3,"",""
164,2018-01-30 06:51:14.977079,,,,,,f,,question,47,4,"",""
165,2018-01-30 07:33:28.870837,,,,,,f,,question,48,1,time,7
166,2018-01-30 07:33:28.992906,,,,,,f,,question,48,2,multi-confusing,no
167,2018-01-30 07:33:29.108151,,,,,,f,,question,48,3,"",""
168,2018-01-30 07:33:29.25417,,,,,,f,,question,48,4,"",""
169,2018-01-30 07:58:43.767273,,,,,,f,,question,49,1,time,7
170,2018-01-30 07:58:43.890454,,,,,,f,,question,49,2,multi-confusing,No
171,2018-01-30 07:58:44.004495,,,,,,f,,question,49,3,"",""
172,2018-01-30 07:58:44.112413,,,,,,f,,question,49,4,"",""
173,2018-01-30 11:17:30.215327,,,,,,f,,question,51,1,time,10
174,2018-01-30 11:17:30.282619,,,,,,f,,question,51,2,multi-confusing,not really.
175,2018-01-30 11:17:30.362667,,,,,,f,,question,51,3,"",""
176,2018-01-30 11:17:30.424574,,,,,,f,,question,51,4,"",""
177,2018-01-30 12:30:37.79341,,,,,,f,,question,52,1,time,5
178,2018-01-30 12:30:37.892336,,,,,,f,,question,52,2,multi-confusing,Nothing at all.
179,2018-01-30 12:30:37.982915,,,,,,f,,question,52,3,"",""
180,2018-01-30 12:30:38.073768,,,,,,f,,question,52,4,"",""
181,2018-01-30 13:17:58.240151,,,,,,f,,question,53,1,"","0 minutes, 23 seconds"
182,2018-01-30 13:17:58.316425,,,,,,f,,question,53,2,time,5
183,2018-01-30 13:17:58.394772,,,,,,f,,question,53,3,multi-confusing,The icons did not go into the rockets
184,2018-01-30 13:17:58.470143,,,,,,f,,question,53,4,"",""
185,2018-01-30 13:17:58.543536,,,,,,f,,question,53,5,"",""
186,2018-01-30 13:28:46.807563,,,,,,f,,question,55,1,time,12
187,2018-01-30 13:28:46.894411,,,,,,f,,question,55,2,multi-confusing,no
188,2018-01-30 13:28:47.224841,,,,,,f,,question,55,3,"",""
189,2018-01-30 13:28:47.31985,,,,,,f,,question,55,4,"",""
190,2018-01-30 13:45:25.73475,,,,,,f,,question,56,1,time,10
191,2018-01-30 13:45:26.091439,,,,,,f,,question,56,2,multi-confusing,""
192,2018-01-30 13:45:26.352692,,,,,,f,,question,56,3,"",""
193,2018-01-30 13:45:26.667485,,,,,,f,,question,56,4,"",""
194,2018-01-30 14:01:32.027256,,,,,,f,,question,57,1,time,10
195,2018-01-30 14:01:32.219338,,,,,,f,,question,57,2,multi-confusing,"The only thing that was a bit confusing at first was on the first test, I didn't realize immediately that I couldn't change the parts on each of the 4 trials.  I thought the game was locking up until I realized it was designed that way."
196,2018-01-30 14:01:32.376792,,,,,,f,,question,57,3,"",""
197,2018-01-30 14:01:32.539367,,,,,,f,,question,57,4,"",""
198,2018-01-30 14:38:12.060683,,,,,,f,,question,59,1,time,10
199,2018-01-30 14:38:12.20787,,,,,,f,,question,59,2,multi-confusing,no
200,2018-01-30 14:38:12.345562,,,,,,f,,question,59,3,"",""
201,2018-01-30 14:38:12.482453,,,,,,f,,question,59,4,"",""
